Home_Team,Away_Team,Result,Date,Link,Year,Round,League
Niort,Le Havre,0-0,Sat 30 Jan ,/match/chamois-niortais/havre-ac/2021,2021,22,ligue_2
Rodez,Sochaux,1-1,Sat 30 Jan ,/match/rodez/sochaux/2021,2021,22,ligue_2
Valenciennes,Dunkerque,1-0,Sat 30 Jan ,/match/valenciennes-afc/dunkerque/2021,2021,22,ligue_2
Auxerre,Toulouse,2-0,Tue 02 Feb ,/match/auxerre/toulouse-fc/2021,2021,23,ligue_2
Caen,Valenciennes,1-1,Tue 02 Feb ,/match/caen/valenciennes-afc/2021,2021,23,ligue_2
Chateauroux,Chambly,1-0,Tue 02 Feb ,/match/berrichonne-chateauroux/chambly/2021,2021,23,ligue_2
Clermont,Troyes,2-0,Tue 02 Feb ,/match/clermont-foot/troyes/2021,2021,23,ligue_2
Dunkerque,Rodez,0-0,Tue 02 Feb ,/match/dunkerque/rodez/2021,2021,23,ligue_2
Grenoble,Guingamp,1-1,Tue 02 Feb ,/match/grenoble-foot-38/guingamp/2021,2021,23,ligue_2
Le Havre,Nancy,0-1,Tue 02 Feb ,/match/havre-ac/nancy/2021,2021,23,ligue_2
Paris FC,Niort,3-3,Tue 02 Feb ,/match/paris-sg/chamois-niortais/2021,2021,23,ligue_2
Pau FC,Amiens SC,1-0,Tue 02 Feb ,/match/pau/amiens-sc/2021,2021,23,ligue_2
Sochaux,Ajaccio,0-2,Tue 02 Feb ,/match/sochaux/ajaccio/2021,2021,23,ligue_2
Toulouse,Dunkerque,0-1,Sat 22 Aug ,/match/toulouse-fc/dunkerque/2021,2021,1,ligue_2
Ajaccio,Chateauroux,0-1,Sat 22 Aug ,/match/ajaccio/berrichonne-chateauroux/2021,2021,1,ligue_2
Amiens SC,Nancy,1-0,Sat 22 Aug ,/match/amiens-sc/nancy/2021,2021,1,ligue_2
Auxerre,Sochaux,0-2,Sat 22 Aug ,/match/auxerre/sochaux/2021,2021,1,ligue_2
Chambly,Paris FC,0-3,Sat 22 Aug ,/match/chambly/paris-sg/2021,2021,1,ligue_2
Clermont,Caen,0-0,Sat 22 Aug ,/match/clermont-foot/caen/2021,2021,1,ligue_2
Guingamp,Niort,0-1,Sat 22 Aug ,/match/guingamp/chamois-niortais/2021,2021,1,ligue_2
Rodez,Grenoble,1-0,Sat 22 Aug ,/match/rodez/grenoble-foot-38/2021,2021,1,ligue_2
