Home_Team,Away_Team,Result,Date,Link,Year,Round,League
Salernitana,Chievo,0-1,Sun 09 Oct ,/match/salernitana-calcio-1919/chievo/1995,1995,6,serie_b
Udinese,Ancona,2-2,Sun 09 Oct ,/match/udinese/ancona/1995,1995,6,serie_b
Hellas Verona,Venezia,1-1,Sun 09 Oct ,/match/hellas-verona-fc/venezia/1995,1995,6,serie_b
Cesena,Acireale,2-0,Sat 15 Oct ,/match/ac-cesena/acireale/1995,1995,7,serie_b
Ancona,Atalanta,4-2,Sun 16 Oct ,/match/ancona/atalanta/1995,1995,7,serie_b
Chievo,Ascoli,1-1,Sun 16 Oct ,/match/chievo/ascoli/1995,1995,7,serie_b
Como,Cosenza Calcio,1-0,Sun 16 Oct ,/match/como/fortitudo-cosenza/1995,1995,7,serie_b
Lucchese Libertas,Lecce,1-0,Sun 16 Oct ,/match/luchese/lecce/1995,1995,7,serie_b
Palermo FC,Udinese,0-0,Sun 16 Oct ,/match/palermo/udinese/1995,1995,7,serie_b
Perugia,Fidelis Andria,0-0,Sun 16 Oct ,/match/perugia/fidelis-andria/1995,1995,7,serie_b
Pescara,Venezia,1-0,Sun 16 Oct ,/match/pescara-calcio/venezia/1995,1995,7,serie_b
Salernitana,Piacenza,0-1,Sun 16 Oct ,/match/salernitana-calcio-1919/piacenza/1995,1995,7,serie_b
Vicenza ,Hellas Verona,0-0,Sun 16 Oct ,/match/vicenza-calcio/hellas-verona-fc/1995,1995,7,serie_b
Udinese,Lucchese Libertas,0-0,Sat 22 Oct ,/match/udinese/luchese/1995,1995,8,serie_b
Acireale,Vicenza ,0-0,Sun 23 Oct ,/match/acireale/vicenza-calcio/1995,1995,8,serie_b
Ascoli,Piacenza,0-2,Sun 23 Oct ,/match/ascoli/piacenza/1995,1995,8,serie_b
Atalanta,Pescara,3-0,Sun 23 Oct ,/match/atalanta/pescara-calcio/1995,1995,8,serie_b
Como,Ancona,1-3,Sun 23 Oct ,/match/como/ancona/1995,1995,8,serie_b
Cosenza Calcio,Cesena,0-0,Sun 23 Oct ,/match/fortitudo-cosenza/ac-cesena/1995,1995,8,serie_b
Fidelis Andria,Salernitana,1-1,Sun 23 Oct ,/match/fidelis-andria/salernitana-calcio-1919/1995,1995,8,serie_b
Lecce,Palermo FC,1-7,Sun 23 Oct ,/match/lecce/palermo/1995,1995,8,serie_b
Venezia,Chievo,0-2,Sun 23 Oct ,/match/venezia/chievo/1995,1995,8,serie_b
Hellas Verona,Perugia,0-0,Sun 23 Oct ,/match/hellas-verona-fc/perugia/1995,1995,8,serie_b
Perugia,Atalanta,0-0,Sat 29 Oct ,/match/perugia/atalanta/1995,1995,9,serie_b
Ancona,Cosenza Calcio,1-2,Sun 30 Oct ,/match/ancona/fortitudo-cosenza/1995,1995,9,serie_b
Chievo,Lecce,0-0,Sun 30 Oct ,/match/chievo/lecce/1995,1995,9,serie_b
Lucchese Libertas,Acireale,2-1,Sun 30 Oct ,/match/luchese/acireale/1995,1995,9,serie_b
Palermo FC,Cesena,0-0,Sun 30 Oct ,/match/palermo/ac-cesena/1995,1995,9,serie_b
Pescara,Como,2-0,Sun 30 Oct ,/match/pescara-calcio/como/1995,1995,9,serie_b
Piacenza,Fidelis Andria,3-1,Sun 30 Oct ,/match/piacenza/fidelis-andria/1995,1995,9,serie_b
Salernitana,Ascoli,2-0,Sun 30 Oct ,/match/salernitana-calcio-1919/ascoli/1995,1995,9,serie_b
Udinese,Hellas Verona,4-1,Sun 30 Oct ,/match/udinese/hellas-verona-fc/1995,1995,9,serie_b
Vicenza ,Venezia,2-1,Sun 30 Oct ,/match/vicenza-calcio/venezia/1995,1995,9,serie_b
Cosenza Calcio,Palermo FC,0-0,Sat 05 Nov ,/match/fortitudo-cosenza/palermo/1995,1995,10,serie_b
Acireale,Salernitana,1-3,Sun 06 Nov ,/match/acireale/salernitana-calcio-1919/1995,1995,10,serie_b
Ascoli,Ancona,2-0,Sun 06 Nov ,/match/ascoli/ancona/1995,1995,10,serie_b
Atalanta,Vicenza ,0-0,Sun 06 Nov ,/match/atalanta/vicenza-calcio/1995,1995,10,serie_b
Cesena,Chievo,2-1,Sun 06 Nov ,/match/ac-cesena/chievo/1995,1995,10,serie_b
Como,Piacenza,1-3,Sun 06 Nov ,/match/como/piacenza/1995,1995,10,serie_b
Lecce,Udinese,2-2,Sun 06 Nov ,/match/lecce/udinese/1995,1995,10,serie_b
Pescara,Fidelis Andria,1-0,Sun 06 Nov ,/match/pescara-calcio/fidelis-andria/1995,1995,10,serie_b
Venezia,Perugia,2-0,Sun 06 Nov ,/match/venezia/perugia/1995,1995,10,serie_b
Hellas Verona,Lucchese Libertas,1-1,Sun 06 Nov ,/match/hellas-verona-fc/luchese/1995,1995,10,serie_b
Udinese,Atalanta,1-1,Sat 12 Nov ,/match/udinese/atalanta/1995,1995,11,serie_b
Ascoli,Acireale,0-0,Sun 13 Nov ,/match/ascoli/acireale/1995,1995,11,serie_b
Chievo,Pescara,3-1,Sun 13 Nov ,/match/chievo/pescara-calcio/1995,1995,11,serie_b
Fidelis Andria,Hellas Verona,1-0,Sun 13 Nov ,/match/fidelis-andria/hellas-verona-fc/1995,1995,11,serie_b
Lucchese Libertas,Como,5-1,Sun 13 Nov ,/match/luchese/como/1995,1995,11,serie_b
Palermo FC,Venezia,2-0,Sun 13 Nov ,/match/palermo/venezia/1995,1995,11,serie_b
Perugia,Lecce,3-1,Sun 13 Nov ,/match/perugia/lecce/1995,1995,11,serie_b
Piacenza,Cesena,1-1,Sun 13 Nov ,/match/piacenza/ac-cesena/1995,1995,11,serie_b
Salernitana,Cosenza Calcio,5-2,Sun 13 Nov ,/match/salernitana-calcio-1919/fortitudo-cosenza/1995,1995,11,serie_b
Vicenza ,Ancona,0-0,Sun 13 Nov ,/match/vicenza-calcio/ancona/1995,1995,11,serie_b
Lecce,Fidelis Andria,0-1,Sat 26 Nov ,/match/lecce/fidelis-andria/1995,1995,12,serie_b
Ancona,Lucchese Libertas,1-1,Sun 27 Nov ,/match/ancona/luchese/1995,1995,12,serie_b
Atalanta,Hellas Verona,0-1,Sun 27 Nov ,/match/atalanta/hellas-verona-fc/1995,1995,12,serie_b
Cesena,Perugia,1-1,Sun 27 Nov ,/match/ac-cesena/perugia/1995,1995,12,serie_b
Chievo,Piacenza,0-1,Sun 27 Nov ,/match/chievo/piacenza/1995,1995,12,serie_b
Como,Acireale,0-1,Sun 27 Nov ,/match/como/acireale/1995,1995,12,serie_b
Cosenza Calcio,Ascoli,3-1,Sun 27 Nov ,/match/fortitudo-cosenza/ascoli/1995,1995,12,serie_b
